Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
WETZEL INVESTMENT ADVISORS, INC.;0002009211;9/30/2025;1406;7,537;;67066G104
FSC Wealth Advisors, LLC;0001925685;9/30/2025;1403;7,521;;67066G104
Cambridge Financial Group, LLC;0002085256;9/30/2025;1402;7,519;;67066G104
Post Resch Tallon Group Inc.;0002054476;9/30/2025;1402;7,517;;67066G104
BAXTER BROS INC;0001096783;9/30/2025;1401;7,511;;67066G104
Rodgers Brothers Inc.;0001397290;9/30/2025;1399;7,500;;67066G104
SUMMIT PARTNERS PUBLIC ASSET MANAGEMENT, LLC;0001638555;9/30/2025;1399;7,500;call;67066G104
LYNCH & ASSOCIATES/IN;0001108965;9/30/2025;1397;7,489;;67066G104
RBO & CO LLC;0001162827;9/30/2025;1393;7,470;;67066G104
BlueSpruce Investments, LP;0001600285;9/30/2025;1393;7,467;;67066G104
Orin Green Financial, LLC;0001844227;9/30/2025;1392;7,463;;67066G104
Johnson Financial Group, LLC;0001706327;9/30/2025;1389;7,445;;67066G104
Cherry Tree Wealth Management, LLC;0001985414;9/30/2025;1387;7,438;;67066G104
TSA Wealth Managment LLC;0001963669;9/30/2025;1386;7,429;;67066G104
Campbell Deegan Wealth Management, LLC;0002059743;9/30/2025;1385;7,428;;67066G104
RESTON WEALTH MANAGEMENT LLC;0001767617;9/30/2025;1385;7,426;;67066G104
RFP Financial Group LLC;0001956564;9/30/2025;1240;7,421;;67066G104
INVESTED ADVISORS;0002090165;9/30/2025;1039;7,417;;67066G104
Fonville Wealth Management LLC;0002008703;9/30/2025;1381;7,402;;67066G104
Traub Capital Management LLC;0002079207;9/30/2025;1380;7,401;;67066G104
Shakespeare Wealth Management, LLC;0001658509;9/30/2025;1375;7,372;;67066G104
Valued Retirements, Inc.;0002044874;9/30/2025;1164;7,371;;67066G104
Flower City Capital;0001808394;9/30/2025;1373;7,360;;67066G104
Intrepid Financial Planning Group LLC;0001641296;9/30/2025;1373;7,359;;67066G104
Swisher Financial Concepts, Inc.;0001947503;9/30/2025;1372;7,356;;67066G104
SWMG, LLC;0001839255;9/30/2025;1337;7,343;;67066G104
Brickley Wealth Management;0001712533;9/30/2025;1370;7,343;;67066G104
Pacific Point Advisors, LLC;0002056976;9/30/2025;1369;7,339;;67066G104
Asset Management Group, Inc.;0001511550;9/30/2025;1366;7,325;;67066G104
KW WEALTH MANAGEMENT LLC;0002078696;9/30/2025;1362;7,305;;67066G104
Parkshore Wealth Management, Inc.;0002024251;9/30/2025;1362;7,301;;67066G104
AMG National Trust Bank;0001388829;9/30/2025;1362;7,300;put;67066G104
Eschler Asset Management LLP;0001910874;9/30/2025;1361;7,299;;67066G104
MASECO LLP;0002074052;9/30/2025;1361;7,297;;67066G104
Milestones Private Investment Advisors LLC;0001726041;9/30/2025;1360;7,294;;67066G104
Clarkston Capital Partners, LLC;0001562855;9/30/2025;1354;7,257;;67066G104
Profit Investment Management, LLC;0001286295;9/30/2025;1350;7,236;;67066G104
New England Research & Management, Inc.;0001596077;9/30/2025;1348;7,228;;67066G104
Phoenix Wealth Advisors;0001842362;9/30/2025;1348;7,225;;67066G104
Newport Capital Group, LLC;0001869032;9/30/2025;1346;7,214;;67066G104
Keener Financial Planning LLC;0002004495;9/30/2025;1341;7,190;;67066G104
Private Wealth Management Group, LLC;0002011342;9/30/2025;1340;7,186;;67066G104
Yeomans Consulting Group, Inc.;0002014739;9/30/2025;1344;7,178;;67066G104
Wealth Group Ltd;0002010748;9/30/2025;1337;7,171;;67066G104
HC Advisors, LLC;0001803295;9/30/2025;1337;7,168;;67066G104
Luminist Capital LLC;0001807270;9/30/2025;1340;7,160;;67066G104
Trust Co;0001632554;9/30/2025;1335;7,159;;67066G104
Bank & Trust Co;0002026082;9/30/2025;1335;7,156;;67066G104
denkapparat Operations GmbH;0001999514;9/30/2025;1332;7,144;;67066G104
Opulen Financial Group LLC;0002055099;9/30/2025;1332;7,139;;67066G104
Copperleaf Capital, LLC;0001802225;9/30/2025;1330;7,132;;67066G104
Magnolia Private Wealth, LLC;0002055130;9/30/2025;1330;7,129;;67066G104
Investors Research Corp;0001730630;9/30/2025;1326;7,110;;67066G104
ARK & TLK INVESTMENTS, LLC;0002013188;9/30/2025;1325;7,104;;67066G104
Well Done, LLC;0001667132;9/30/2025;1323;7,091;;67066G104
Ironwood Financial, llc;0001630360;9/30/2025;1321;7,085;;67066G104
TOTAL INVESTMENT MANAGEMENT INC;0001068804;9/30/2025;1321;7,082;;67066G104
Cypress Capital, LLC;0001729939;9/30/2025;1319;7,074;;67066G104
EVOLUTION WEALTH MANAGEMENT INC.;0002010029;9/30/2025;1319;7,073;;67066G104
Johnson Bixby & Associates, LLC;0001844238;9/30/2025;1318;7,064;;67066G104
Pinpoint Asset Management (Singapore) Pte. Ltd.;0002080247;9/30/2025;1316;7,055;;67066G104
Birch Capital Management, LLC;0001799859;9/30/2025;1315;7,053;;67066G104
CURA WEALTH ADVISORS, LLC;0002056729;9/30/2025;1311;7,027;;67066G104
Townsend & Associates, Inc;0001729359;9/30/2025;1285;7,014;;67066G104
VERUS WEALTH MANAGEMENT, LLC;0002042938;9/30/2025;1307;7,008;;67066G104
KG&L Capital Management,LLC;0001771687;9/30/2025;500;7,000;call;67066G104
VELA Investment Management, LLC;0001895612;9/30/2025;1306;7,000;call;67066G104
PETREDIS INVESTMENT ADVISORS LLC;0001964544;9/30/2025;1306;7,000;call;67066G104
Freestone Capital Holdings, LLC;0001470876;9/30/2025;1306;7,000;call;67066G104
Equita Financial Network, Inc.;0001994461;9/30/2025;1305;6,998;;67066G104
CapWealth Advisors, LLC;0001531809;9/30/2025;1304;6,994;;67066G104
CapWealth Advisors, LLC;0001531809;9/30/2025;1304;6,994;;67066G104
Provident Investment Management, Inc.;0001076964;9/30/2025;1303;6,987;;67066G104
Pettinga Financial Advisors LLC;0001694592;9/30/2025;1300;6,971;;67066G104
Shira Ridge Wealth Management;0001961210;9/30/2025;1299;6,965;;67066G104
Brand Asset Management Group, Inc.;0001748766;9/30/2025;1294;6,938;;67066G104
Antonelli Financial Advisors, LLC;0002055364;9/30/2025;1293;6,933;;67066G104
Perissos Private Wealth Management, LLC;0002023071;9/30/2025;1291;6,921;;67066G104
Grantvest Financial Group LLC;0002055216;9/30/2025;1289;6,913;;67066G104
Stone House Investment Management, LLC;0001696497;9/30/2025;1287;6,903;;67066G104
BECK MACK & OLIVER LLC;0000010742;9/30/2025;1281;6,871;;67066G104
BELLEVUE ASSET MANAGEMENT, LLC;0001801619;9/30/2025;1281;6,870;;67066G104
INTEGRITY WEALTH ADVISORS, INC.;0001951908;9/30/2025;1194;6,863;;67066G104
Farringdon Capital, Ltd.;0001750980;9/30/2025;1280;6,861;;67066G104
SCRATCH CAPITAL LLC;0002055324;9/30/2025;1279;6,858;;67066G104
Quest 10 Wealth Builders, Inc.;0002035215;9/30/2025;1277;6,846;;67066G104
Mandatum Life Insurance Co Ltd;0001664324;9/30/2025;1277;6,846;;67066G104
Seek First Inc.;0002060504;9/30/2025;1273;6,827;;67066G104
Financial Symmetry Inc;0002004843;9/30/2025;1273;6,824;;67066G104
Northwest Capital Management Inc;0001730404;9/30/2025;1272;6,818;;67066G104
CUTLER INVESTMENT COUNSEL LLC;0001285973;9/30/2025;1271;6,817;;67066G104
Private Capital Management, LLC;0001588456;9/30/2025;1271;6,816;;67066G104
Financial Synergies Wealth Advisors, Inc.;0002017868;9/30/2025;1268;6,800;;67066G104
Garde Capital, Inc.;0001616328;9/30/2025;1268;6,800;put;67066G104
DMC Group, LLC;0001893403;9/30/2025;1268;6,800;;67066G104
Abich Financial Wealth Management LLC;0002011645;9/30/2025;1268;6,800;;67066G104
GreatBanc Trust CO;0001427099;9/30/2025;1267;6,792;;67066G104
MFA Wealth Services;0001989379;9/30/2025;1265;6,785;;67066G104
SHERMAN PORFOLIOS, LLC;0002096483;9/30/2025;1262;6,769;;67066G104
Integrated Capital Management, LLC;0002040070;9/30/2025;1294;6,761;;67066G104
FF Advisors,LLC;0002011904;9/30/2025;1259;6,752;;67066G104
Cohen Capital Management, Inc.;0001508120;9/30/2025;1259;6,748;;67066G104
EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC;0001080382;9/30/2025;1258;6,745;;67066G104
Carlton Hofferkamp & Jenks Wealth Management, LLC;0001510870;9/30/2025;1291;6,743;;67066G104
Alpha Financial Partners, LLC;0001966219;9/30/2025;1255;6,728;;67066G104
REAP Financial Group, LLC;0002048581;9/30/2025;1254;6,721;;67066G104
Dynamic Technology Lab Private Ltd;0001535387;9/30/2025;1254;6,719;;67066G104
CONTINENTAL INVESTORS SERVICES, INC.;0000883634;9/30/2025;1245;6,717;;67066G104
Red Spruce Capital, LLC;0001795356;9/30/2025;1253;6,716;;67066G104
M. Kraus & Co;0001593688;9/30/2025;1252;6,715;;67066G104
Barnes Wealth Management Group, Inc;0002066194;9/30/2025;1250;6,701;;67066G104
Pachira Investments Inc.;0001563634;9/30/2025;1249;6,698;;67066G104
Bell & Brown Wealth Advisors, LLC;0001725362;9/30/2025;1249;6,697;;67066G104
Carson Advisory Inc.;0001909304;9/30/2025;1247;6,688;;67066G104
SUMMIT WEALTH GROUP LLC / CO;0002081278;9/30/2025;2905;6,679;;67066G104
DELTA CAPITAL MANAGEMENT LLC;0000893738;9/30/2025;1244;6,670;;67066G104
Jackson, Grant Investment Advisers, Inc.;0001650300;9/30/2025;1244;6,670;;67066G104
Balance Wealth, LLC;0002065247;9/30/2025;1241;6,653;;67066G104
LOWERY THOMAS, LLC;0001919701;9/30/2025;1241;6,653;;67066G104
Edge Financial Advisors LLC;0002011402;9/30/2025;2480;6,647;;67066G104
Lafayette Investments, Inc.;0001308377;9/30/2025;1235;6,623;;67066G104
Vishria Bird Financial Group, LLC;0001746438;9/30/2025;1235;6,622;;67066G104
MorganRosel Wealth Management, LLC;0001753218;9/30/2025;1235;6,621;;67066G104
Custos Family Office, LLC;0001904423;9/30/2025;1232;6,604;;67066G104
Freedom Financial Partners LLC;0002054598;9/30/2025;1231;6,598;;67066G104
Valtinson Bruner Financial Planning LLC;0001761450;9/30/2025;1230;6,596;;67066G104
Beacon Bridge Wealth Partners, LLC;0001965468;9/30/2025;1226;6,574;;67066G104
Elgethun Capital Management;0001638022;9/30/2025;1220;6,573;;67066G104
Teza Capital Management LLC;0001655789;9/30/2025;1225;6,567;;67066G104
Duncan Williams Asset Management, LLC;0002011771;9/30/2025;1224;6,562;;67066G104
FSB PREMIER WEALTH MANAGEMENT, INC.;0000887748;9/30/2025;1223;6,555;;67066G104
Cranbrook Wealth Management, LLC;0001599084;9/30/2025;1222;6,552;;67066G104
CLEAR INVESTMENT RESEARCH, LLC;0001635523;9/30/2025;1219;6,537;;67066G104
Full Sail Capital, LLC;0001757617;9/30/2025;1215;6,515;;67066G104
CFC Planning Co LLC;0001854428;9/30/2025;1214;6,510;;67066G104
OUTFITTERS FINANCIAL LLC;0001846505;9/30/2025;1213;6,505;;67066G104
GQG Partners LLC;0001697233;9/30/2025;1212;6,501;;67066G104
STAGE HARBOR FINANCIAL, LLC;0001934721;9/30/2025;1212;6,498;;67066G104
Arcus Capital Partners, LLC;0001651960;9/30/2025;1208;6,480;;67066G104
Sanchez Wealth Management Group;0001697740;9/30/2025;1209;6,480;;67066G104
City Center Advisors, LLC;0002030341;9/30/2025;1206;6,468;;67066G104
Shearwater Capital LLC;0001905665;9/30/2025;1206;6,465;;67066G104
Asset Allocation & Management Company, LLC;0001498383;9/30/2025;1201;6,438;;67066G104
FFT WEALTH MANAGEMENT LLC;0001653199;9/30/2025;1194;6,402;;67066G104
DURANTE & WATERS, LLC;0001666582;9/30/2025;1193;6,397;;67066G104
Carrera Capital Advisors;0002035329;9/30/2025;1190;6,380;;67066G104
PENOBSCOT WEALTH MANAGEMENT;0001875768;9/30/2025;1185;6,356;;67066G104
VOISARD ASSET MANAGEMENT GROUP, INC.;0002011215;9/30/2025;1185;6,355;;67066G104
Everstar Asset Management, LLC;0002023744;9/30/2025;1184;6,349;;67066G104
FIRST HAWAIIAN BANK;0000764106;9/30/2025;1184;6,348;;67066G104
APS Management Group, Inc.;0001914985;9/30/2025;1145;6,317;;67066G104
SARD WEALTH MANAGEMENT GROUP, LLC;0002010095;9/30/2025;1178;6,314;;67066G104
LEGACY SOLUTIONS, LLC;0002053314;9/30/2025;1177;6,310;;67066G104
FARMERS TRUST CO;0001318055;9/30/2025;1176;6,308;;67066G104
Accuvest Global Advisors;0001497637;9/30/2025;1176;6,304;;67066G104
FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC;0001056549;9/30/2025;1172;6,283;;67066G104
Element Wealth, LLC;0001802743;9/30/2025;1171;6,278;;67066G104
Planning Center, Inc.;0001910966;9/30/2025;1170;6,276;;67066G104
LETKO, BROSSEAU & ASSOCIATES INC;0001297496;9/30/2025;1166;6,250;;67066G104
Clarion Wealth Managment Partners, LLC;0002081211;9/30/2025;1164;6,243;;67066G104
Green Alpha Advisors, LLC;0001439207;9/30/2025;1163;6,237;;67066G104
Cornerstone Financial Group, LLC /NE/;0002056783;9/30/2025;1162;6,230;;67066G104
Lakeshore Capital Group, Inc.;0002057465;9/30/2025;1162;6,228;;67066G104
C2C Wealth Management, LLC;0001868903;9/30/2025;1160;6,218;;67066G104
DOVER ADVISORS, LLC;0001964541;9/30/2025;1159;6,212;;67066G104
Destiny Capital Corp/CO;0001965275;9/30/2025;1153;6,183;;67066G104
Heartwood Wealth Advisors LLC;0001794935;9/30/2025;1151;6,171;;67066G104
ALTERNA WEALTH MANAGEMENT, INC;0001767699;9/30/2025;1150;6,165;;67066G104
Financial Sense Advisors, Inc.;0001358828;9/30/2025;1148;6,157;;67066G104
CHESAPEAKE CAPITAL CORP /IL/;0001093908;9/30/2025;1148;6,156;;67066G104
True Wealth Design, LLC;0001966033;9/30/2025;1147;6,152;;67066G104
GEM Asset Management, LLC;0001963319;9/30/2025;1136;6,143;;67066G104
COREPATH WEALTH PARTNERS LLC;0001845838;9/30/2025;1139;6,142;;67066G104
MARATHON CAPITAL MANAGEMENT;0001213206;9/30/2025;1144;6,135;;67066G104
Graves Light Lenhart Wealth, Inc.;0001759803;9/30/2025;1143;6,131;;67066G104
MONTGOMERY INVESTMENT MANAGEMENT INC;0001272544;9/30/2025;1141;6,120;;67066G104
WealthCollab, LLC;0002017870;9/30/2025;1139;6,108;;67066G104
CROWLEY WEALTH MANAGEMENT, INC.;0002055836;9/30/2025;1139;6,106;;67066G104
REIK & CO., LLC;0001388028;9/30/2025;1138;6,100;;67066G104
NORTHCAPE WEALTH MANAGEMENT, LLC;0001902806;9/30/2025;1134;6,083;;67066G104
Tull Financial Group, Inc.;0001769060;9/30/2025;1133;6,074;;67066G104
OGOREK ANTHONY JOSEPH /NY/ /ADV;0000714364;9/30/2025;1132;6,067;;67066G104
KITCHING PARTNERS, LLC;0002010145;9/30/2025;1132;6,067;;67066G104
WorthPointe, LLC;0001921448;9/30/2025;1131;6,063;;67066G104
Northern Capital Management, Inc.;0001581794;9/30/2025;1129;6,054;;67066G104
VanderPol Investments L.L.C.;0002015682;9/30/2025;1126;6,049;;67066G104
GoalFusion Wealth Management, LLC;0001895678;9/30/2025;1128;6,048;;67066G104
TECTONIC ADVISORS LLC;0001859918;9/30/2025;1127;6,043;;67066G104
Pinnacle Financial Group, LLC / IL;0001905962;9/30/2025;1124;6,026;;67066G104
Midwest Capital Advisors, LLC;0002026480;9/30/2025;1123;6,021;;67066G104
Waterford Advisors, LLC;0001960657;9/30/2025;1121;6,012;;67066G104
Ariston Services Group;0001743859;9/30/2025;1120;6,008;;67066G104
Boit C F David;0001308331;9/30/2025;1119;6,000;;67066G104
Cherokee Insurance Co;0002077903;9/30/2025;1119;6,000;;67066G104
Arrowroot Family Office, LLC;0002017744;9/30/2025;1119;5,999;;67066G104
Mokosak Advisory Group, LLC;0001713112;9/30/2025;1115;5,981;;67066G104
Wood Tarver Financial Group, LLC;0002059344;9/30/2025;1115;5,978;;67066G104
Bridgefront Capital, LLC;0001725690;9/30/2025;1113;5,969;;67066G104
Lincoln Capital LLC;0001633862;9/30/2025;1117;5,957;;67066G104
CarsonAllaria Wealth Management, Ltd.;0001900946;9/30/2025;1110;5,953;;67066G104
ATLANTIC FAMILY WEALTH, LLC;0002012511;9/30/2025;1108;5,943;;67066G104
THURSTON, SPRINGER, MILLER, HERD & TITAK, INC.;0000319933;9/30/2025;1105;5,927;;67066G104
SRH ADVISORS, LLC;0001512779;9/30/2025;1103;5,915;;67066G104
FORMULATE FINANCIAL LLC;0002093400;9/30/2025;1103;5,915;;67066G104
McGowan Group Asset Management, Inc.;0001633227;9/30/2025;1103;5,914;;67066G104
BROGAN FINANCIAL, INC.;0001889918;9/30/2025;1102;5,911;;67066G104
SIH Partners, LLLP;0001996244;9/30/2025;1100;5,900;call;67066G104
ARBOR TRUST WEALTH ADVISORS, LLC;0001797135;9/30/2025;1100;5,897;;67066G104
SIMS INVESTMENT MANAGEMENT, LLC;0002053807;9/30/2025;1098;5,886;;67066G104
Avalon Advisory Group;0001802119;9/30/2025;1097;5,881;;67066G104
BKM Wealth Management, LLC;0002007263;9/30/2025;1096;5,876;;67066G104
Inman Jager Wealth Management, LLC;0002052044;9/30/2025;1092;5,857;;67066G104
FULLCIRCLE WEALTH LLC;0002030910;9/30/2025;1163;5,854;;67066G104
WILSEY ASSET MANAGEMENT INC;0001598379;9/30/2025;1091;5,850;;67066G104
CHAPMAN FINANCIAL GROUP, LLC;0002056577;9/30/2025;1090;5,845;;67066G104
WILKINS INVESTMENT COUNSEL INC;0001276853;9/30/2025;1090;5,845;;67066G104
Tandem Investment Partners LLC;0002056333;9/30/2025;1090;5,842;;67066G104
Lanham O'Dell & Company, Inc.;0001926344;9/30/2025;1089;5,839;;67066G104
AF Advisors, Inc.;0001818044;9/30/2025;1087;5,826;;67066G104
WESPAC Advisors, LLC;0001484540;9/30/2025;1086;5,824;;67066G104
Per Stirling Capital Management, LLC.;0001689933;9/30/2025;1082;5,803;;67066G104
TPG Advisors LLC;0002033388;9/30/2025;1081;5,798;;67066G104
Mascoma Wealth Management LLC;0001695664;9/30/2025;1079;5,784;;67066G104
Copley Financial Group, Inc.;0002045258;9/30/2025;1078;5,779;;67066G104
Cedar Point Capital Partners, LLC;0001954337;9/30/2025;1077;5,775;;67066G104
Carnegie Lake Advisors LLC;0002043591;9/30/2025;1076;5,768;;67066G104
Numerai GP LLC;0001668527;9/30/2025;1075;5,765;;67066G104
CIBC WORLD MARKET INC.;0001421224;9/30/2025;1075;5,764;put;67066G104
Heritage Family Offices, LLP;0002019316;9/30/2025;1075;5,763;;67066G104
Bond & Devick Financial Network, Inc.;0001843495;9/30/2025;1072;5,746;;67066G104
PCG ASSET MANAGEMENT, LLC;0002054906;9/30/2025;1071;5,745;;67066G104
Alesco Advisors LLC;0001269978;9/30/2025;1071;5,744;;67066G104
Peloton Wealth Strategists;0001080132;9/30/2025;1072;5,743;;67066G104
Golden State Wealth Management, LLC;0001776033;9/30/2025;1069;5,730;;67066G104
DROMS STRAUSS ADVISORS INC /MO/ /ADV;0001053292;9/30/2025;1067;5,720;;67066G104
ShoreHaven Wealth Partners, LLC;0001844922;9/30/2025;1064;5,702;;67066G104
THOMAS STORY & SON LLC;0001505207;9/30/2025;1063;5,700;;67066G104
WALLER FINANCIAL PLANNING GROUP, INC;0001736079;9/30/2025;1063;5,700;;67066G104
Schrum Private Wealth Management LLC;0001914987;9/30/2025;1060;5,682;;67066G104
Darwin Wealth Management, LLC;0001663224;9/30/2025;1059;5,681;;67066G104
Midwest Financial Group LLC;0001967193;9/30/2025;1059;5,680;;67066G104
Weil Company, Inc.;0001318011;9/30/2025;1059;5,680;;67066G104
Pacific Capital Wealth Advisors, Inc.;0001803523;9/30/2025;1058;5,676;;67066G104
Davidson Kahn Capital Management, LLC;0002055535;9/30/2025;1054;5,652;;67066G104
CORRECT CAPITAL WEALTH MANAGEMENT;0001844835;9/30/2025;1048;5,619;;67066G104
Alaska Wealth Advisors;0001731601;9/30/2025;1048;5,617;;67066G104
Cloud Capital Management, LLC;0002060492;9/30/2025;1045;5,608;;67066G104
Freedom Investment Management, Inc.;0001566653;9/30/2025;1038;5,565;;67066G104
Gainplan LLC;0001697857;9/30/2025;1035;5,550;;67066G104
OLD POINT TRUST & FINANCIAL SERVICES N A;0001102256;9/30/2025;1035;5,550;;67066G104
RMG Wealth Management LLC;0001844731;9/30/2025;996;5,547;;67066G104
Delta Accumulation, LLC;0001808389;9/30/2025;672;5,541;;67066G104
Gruss & Co., LLC;0001103738;9/30/2025;1026;5,500;;67066G104
Grove Street Fiduciary, LLC;0002054682;9/30/2025;1020;5,469;;67066G104
Innova Wealth Partners;0001888831;9/30/2025;1019;5,464;;67066G104
Spectrum Wealth Advisory Group, LLC;0001776821;9/30/2025;1019;5,463;;67066G104
Gold Investment Management Ltd.;0002006008;9/30/2025;1018;5,460;;67066G104
Comprehensive Financial Consultants Institutional, Inc.;0001915714;9/30/2025;1018;5,459;;67066G104
Disciplined Investors, L.L.C.;0002056242;9/30/2025;1016;5,449;;67066G104
Prepared Retirement Institute LLC;0002056037;9/30/2025;1015;5,441;;67066G104
Legacy Wealth Managment, LLC/ID;0002045082;9/30/2025;1014;5,439;;67066G104
Rockbridge Investment Management, LCC;0001821984;9/30/2025;1014;5,438;;67066G104
Wise Wealth Partners;0002056711;9/30/2025;1010;5,418;;67066G104
New Harbor Financial Group, LLC;0001548577;9/30/2025;1009;5,410;;67066G104
Objectivity Squared, LLC;0002011113;9/30/2025;1009;5,410;;67066G104
Verity & Verity, LLC;0001542108;9/30/2025;1009;5,409;;67066G104
BURKE & HERBERT BANK & TRUST CO;0001101250;9/30/2025;1008;5,405;;67066G104
ECLECTIC ASSOCIATES INC /ADV;0000743482;9/30/2025;1007;5,398;;67066G104
William Mack & Associates, Inc.;0002096700;9/30/2025;1006;5,395;;67066G104
EQ LLC;0001757605;9/30/2025;1005;5,388;;67066G104
Kure Advisory, LLC;0001986795;9/30/2025;1000;5,361;;67066G104
Global Wealth Strategies & Associates;0001912297;9/30/2025;998;5,352;;67066G104
Riverpoint Wealth Management Holdings, LLC;0001682733;9/30/2025;996;5,340;;67066G104
Altiora Financial Group, LLC;0001986156;9/30/2025;995;5,338;;67066G104
Mraz, Amerine & Associates, Inc.;0001542324;9/30/2025;994;5,328;;67066G104
Ironsides Asset Advisors, LLC;0001615135;9/30/2025;991;5,315;;67066G104
Retireful, LLC;0001919176;9/30/2025;991;5,314;;67066G104
Able Wealth Management LLC;0002011908;9/30/2025;991;5,314;;67066G104
Aspen Investment Management Inc;0001541596;9/30/2025;991;5,310;;67066G104
BURKETT FINANCIAL SERVICES, LLC;0001762716;9/30/2025;990;5,309;;67066G104
FIL Ltd;0000318989;9/30/2025;988;5,300;put;67066G104
Traction Financial Partners, LLC;0002007748;9/30/2025;988;5,297;;67066G104
DF DENT & CO INC;0000934999;9/30/2025;987;5,293;;67066G104
Lifelong Wealth Advisors, Inc.;0002051717;9/30/2025;986;5,285;;67066G104
NerdWallet Wealth Partners, LLC;0002079593;9/30/2025;982;5,264;;67066G104
CAPSTONE CAPITAL LLC;0001993327;9/30/2025;980;5,256;;67066G104
Financial Guidance Group, Inc.;0001929349;9/30/2025;980;5,254;;67066G104
Franklin, Parlapiano, Turner & Welch, LLC;0001707856;9/30/2025;980;5,254;;67066G104
Greenspring Advisors, LLC;0001922200;9/30/2025;978;5,247;;67066G104
Howard Hughes Medical Institute;0000810386;9/30/2025;977;5,240;;67066G104
Granite Group Advisors, LLC;0002018114;9/30/2025;977;5,239;;67066G104
Core Alternative Capital;0001776878;9/30/2025;975;5,228;;67066G104
Penbrook Management LLC;0001381055;9/30/2025;974;5,223;;67066G104
STONEHAVEN WEALTH & TAX SOLUTIONS, LLC;0002056591;9/30/2025;972;5,211;;67066G104
Brooklyn FI, LLC;0001916123;9/30/2025;971;5,209;;67066G104
Willis Johnson & Associates, Inc.;0001853239;9/30/2025;970;5,200;call;67066G104
Colorado Capital Management, Inc.;0001664147;9/30/2025;968;5,187;;67066G104
Axis Wealth Partners, LLC;0002052531;9/30/2025;967;5,184;;67066G104
Integras Partners LLC;0002055384;9/30/2025;964;5,170;;67066G104
PATRICK M SWEENEY & ASSOCIATES, INC;0002010453;9/30/2025;959;5,143;;67066G104
BAYSHORE ASSET MANAGEMENT, LLC;0001906790;9/30/2025;958;5,139;;67066G104
Financially Speaking Inc;0002040901;9/30/2025;958;5,138;;67066G104
Foundry Financial Group, Inc.;0002007960;9/30/2025;957;5,131;;67066G104
Shoker Investment Counsel, Inc.;0001599623;9/30/2025;956;5,124;;67066G104
INVESTMENT MANAGEMENT CORP /VA/ /ADV;0000789307;9/30/2025;954;5,114;;67066G104
Base Wealth Management LLC;0002083977;9/30/2025;953;5,112;;67066G104
Oasis Management Co Ltd.;0001317904;9/30/2025;951;5,100;;67066G104
Wealth Watch Advisors, INC;0002040515;9/30/2025;951;5,099;;67066G104
ABSOLUTE CAPITAL MANAGEMENT, LLC;0001817648;9/30/2025;947;5,078;;67066G104
LifeGoal Investments, LLC;0002054684;9/30/2025;943;5,057;;67066G104
Henrickson Nauta Wealth Advisors, Inc.;0001903859;9/30/2025;943;5,055;;67066G104
Patrick Mauro Investment Advisor, INC.;0001953787;9/30/2025;942;5,054;;67066G104
TI-TRUST, INC;0001802284;9/30/2025;942;5,049;;67066G104
Compass Advisory Group LLC;0001720292;9/30/2025;941;5,048;;67066G104
Conservest Capital Advisors, Inc.;0001705716;9/30/2025;935;5,016;;67066G104
IAG Wealth Partners, LLC;0001827261;9/30/2025;935;5,015;;67066G104
Pembroke Management, LTD;0001063497;9/30/2025;935;5,013;;67066G104
Sherman Asset Management, Inc.;0001736535;9/30/2025;934;5,010;;67066G104
Ciovacco Capital Management LLC;0001653012;9/30/2025;934;5,007;;67066G104
Flagstone Financial Management;0001968890;9/30/2025;934;5,007;;67066G104
CORSAIR CAPITAL MANAGEMENT, L.P.;0001276470;9/30/2025;932;5,000;;67066G104
Austin Private Wealth, LLC;0001800328;9/30/2025;932;5,000;call;67066G104
FIFTH LANE CAPITAL, LP;0001858558;9/30/2025;932;5,000;;67066G104
INTREPID FAMILY OFFICE LLC;0001596197;9/30/2025;932;5,000;;67066G104
Credit Capital Investments LLC;0001631208;9/30/2025;932;5,000;;67066G104
J. Goldman & Co LP;0001412741;9/30/2025;932;5,000;call;67066G104
Sugar Maple Asset Management, LLC;0002012673;9/30/2025;932;5,000;;67066G104
Brightwater Advisory LLC;0002034566;9/30/2025;929;4,984;;67066G104
FAMILY WEALTH PARTNERS, LLC;0002016217;9/30/2025;929;4,983;;67066G104
Daner Wealth Management, LLC;0001956649;9/30/2025;912;4,980;;67066G104
Tandem Wealth Advisors LLC;0001842557;9/30/2025;927;4,972;;67066G104
Signet Investment Advisory Group, Inc.;0001766328;9/30/2025;926;4,965;;67066G104
Estate Counselors, LLC;0001559832;9/30/2025;925;4,960;;67066G104
EDENTREE ASSET MANAGEMENT Ltd;0001980273;9/30/2025;923;4,950;;67066G104
SOUTHERN CAPITAL ADVISORS, LLC;0001909249;9/30/2025;921;4,938;;67066G104
FSR Wealth Management Ltd.;0001940000;9/30/2025;919;4,927;;67066G104
FORONJY FINANCIAL LLC;0002040600;9/30/2025;915;4,909;;67066G104
Refined Wealth Management;0001724729;9/30/2025;911;4,885;;67066G104
SwitchPoint Financial Planning, LLC;0002055526;9/30/2025;911;4,883;;67066G104
Paradiem, LLC;0001733356;9/30/2025;910;4,882;;67066G104
Steadtrust LLC;0002097595;9/30/2025;909;4,872;;67066G104
